
101,ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),0107558000491,16433782885,15.14,3328357342,43.87,108787081982,-0.94,15285000000,35760057086,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,วันที่ 30 ธ.ค. 2558,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
102,เบาด์ แอนด์ บียอนด์ จำกัด (มหาชน),0107537000467,420425903,186.79,218838163,958.75,7208555733,1.87,3098246510,6047589941,BOUND AND BEYOND PUBLIC COMPANY LIMITED,วันที่ 4 ก.พ. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
103,บีจี คอนเทนเนอร์ กล๊าส จำกัด (มหาชน),0107561000099,6552538000,-17.35,273955000,-44.88,13706041000,2.63,3472220000,5246786000,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,วันที่ 5 เม.ย. 2561,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
104,บี.กริม เพาเวอร์ จำกัด (มหาชน),0107559000427,4604832023,41.04,2088572888,69.33,75615047352,10.95,5400000000,34568780268,B.GRIMM POWER PUBLIC COMPANY LIMITTED,วันที่ 9 ก.ย. 2559,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
105,บีจีที คอร์ปอเรชั่น จำกัด (มหาชน),0107550000106,487768661,-6.97,-49468967,-327.45,758120588,-8.14,256659032,336308055,BGT CORPORARION PUBLIC COMPANY LIMITED,วันที่ 29 มิ.ย. 2550,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
106,โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),0107536000994,24975741995,23.42,6909772746,42.77,28757287285,19.87,922702685,23893085598,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,วันที่ 8 ก.ย. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
107,บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),0107537001404,3113340312,12.27,58626804,-26.01,2585759312,-1.94,352887880,1704722749,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,วันที่ 9 พ.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
108,ไบโอ กรีน เอ็นเนอร์ยี่ เทค จำกัด (มหาชน),0107536001613,7013497,69.44,-69340446,-46.29,1237756223,11.89,12223209147,1009020078,BIO GREEN ENERGY TECH PUBLIC COMPANY LIMITED,วันที่ 22 ธ.ค. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
109,ไบโอซายน์ แอนิมัล เฮลธ์ จำกัด (มหาชน),0107564000324,612236162,18.36,43918445,0.56,823455322,0.01,157000000,733551684,"BIO SCIENCE ANIMAL HEALTH CO.,LTD. PUBLIC COMPANY LIMITED",วันที่ 1 ก.ย. 2564,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
110,บิสซิเนสอะไลเม้นท์ จำกัด (มหาชน),0107559000079,1600518099,40.12,199711892,45.77,1351390237,6.30,330000000,907259787,BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED,วันที่ 21 มี.ค. 2559,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
111,เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),0107536000226,22574776287,0.26,3358227973,0.37,255346941286,0.18,4114626699,100530972759,BERLI JUCKER PUBLIC COMPANY LIMITED,วันที่ 2 เม.ย. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
112,บีเจซี เฮฟวี่ อินดัสทรี จำกัด (มหาชน),0107556000302,3522466460,28.65,74711669,-60.63,4215240675,-6.62,399922500.25,3380728191,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED,วันที่ 9 พ.ค. 2556,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
113,บางกอก เดค-คอน จำกัด (มหาชน),0107554000178,834708623,5.10,17902549,-85.72,2017921802,4.90,538105316,1462940787,BANGKOK DEC - CON PUBLIC COMPANY LIMITED,วันที่ 14 ก.ค. 2554,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
117,กรุงเทพประกันชีวิต จำกัด (มหาชน),0107550000238,45416850000,-5.72,2547142000,-20.65,325917036000,-4.87,1708000000,44431230000,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,วันที่ 17 ธ.ค. 2550,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
118,บางกอกแลนด์ จำกัด (มหาชน),0107536001222,2314858821,41.75,1541979368,1.60,34715717655,-1.43,26273882154,26693706153,BANGKOK LAND PUBLIC COMPANY LIMITED,วันที่ 18 ต.ค. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
120,เบล็ส แอสเสท กรุ๊ป จำกัด (มหาชน),0107564000448,283613012,-56.65,-16048832,-141.66,2123448555,7.48,400000000,1134832583,BLESS ASSET GROUP PUBLIC COMPANY LIMITED,วันที่ 9 ธ.ค. 2564,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
121,บลิส อินเทลลิเจนซ์ จำกัด (มหาชน),0107547000818,64296262,-42.03,-5156521,-109.83,1324506250,-0.36,37815493468.5,1225058881,BLISS INTELLIGENCE PUBLIC COMPANY LIMITED,วันที่ 8 ก.ย. 2547,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
122,บางกอกชีทเม็ททัล จำกัด (มหาชน),0107558000229,1430993002,9.67,54297699,-16.69,1677465847,15.60,388234672,968276400,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,วันที่ 15 พ.ค. 2558,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
